category,threshold,n_tickets,n_clusters,tp,fp,fn,precision,recall,f1
Infrastructure,0.99,115,109,6,0,735,1.0,0.008097165991902834,0.01606425702811245
Infrastructure,0.95,115,51,221,0,520,1.0,0.2982456140350877,0.45945945945945943
Infrastructure,0.9,115,21,449,0,292,1.0,0.6059379217273954,0.7546218487394958
Infrastructure,0.85,115,9,741,0,0,1.0,1.0,1.0
Infrastructure,0.8,115,6,741,979,0,0.4308139534883721,1.0,0.6021942299878098
Infrastructure,0.75,115,2,741,4068,0,0.15408608858390518,1.0,0.267027027027027
Infrastructure,0.7,115,1,741,5814,0,0.11304347826086956,1.0,0.203125
Infrastructure,0.65,115,1,741,5814,0,0.11304347826086956,1.0,0.203125
Infrastructure,0.6,115,1,741,5814,0,0.11304347826086956,1.0,0.203125
Application,0.99,100,93,7,0,548,1.0,0.012612612612612612,0.024911032028469747
Application,0.95,100,68,48,0,507,1.0,0.08648648648648649,0.15920398009950248
Application,0.9,100,30,372,0,183,1.0,0.6702702702702703,0.8025889967637541
Application,0.85,100,12,520,0,35,1.0,0.9369369369369369,0.9674418604651163
Application,0.8,100,6,555,802,0,0.4089904200442152,1.0,0.5805439330543933
Application,0.75,100,2,555,3495,0,0.13703703703703704,1.0,0.24104234527687296
Application,0.7,100,1,555,4395,0,0.11212121212121212,1.0,0.2016348773841962
Application,0.65,100,1,555,4395,0,0.11212121212121212,1.0,0.2016348773841962
Application,0.6,100,1,555,4395,0,0.11212121212121212,1.0,0.2016348773841962
Security,0.99,61,57,5,0,204,1.0,0.023923444976076555,0.04672897196261682
Security,0.95,61,32,111,0,98,1.0,0.5311004784688995,0.69375
Security,0.9,61,18,160,0,49,1.0,0.7655502392344498,0.8672086720867208
Security,0.85,61,10,206,0,3,1.0,0.9856459330143541,0.9927710843373494
Security,0.8,61,8,209,52,0,0.8007662835249042,1.0,0.8893617021276595
Security,0.75,61,4,209,817,0,0.2037037037037037,1.0,0.3384615384615384
Security,0.7,61,1,209,1621,0,0.11420765027322405,1.0,0.20500245218244237
Security,0.65,61,1,209,1621,0,0.11420765027322405,1.0,0.20500245218244237
Security,0.6,61,1,209,1621,0,0.11420765027322405,1.0,0.20500245218244237
Database,0.99,49,49,0,0,85,,0.0,
Database,0.95,49,43,9,0,76,1.0,0.10588235294117647,0.19148936170212766
Database,0.9,49,33,34,0,51,1.0,0.4,0.5714285714285715
Database,0.85,49,17,73,0,12,1.0,0.8588235294117647,0.9240506329113923
Database,0.8,49,3,85,587,0,0.12648809523809523,1.0,0.2245706737120211
Database,0.75,49,1,85,1091,0,0.07227891156462585,1.0,0.13481363996827914
Database,0.7,49,1,85,1091,0,0.07227891156462585,1.0,0.13481363996827914
Database,0.65,49,1,85,1091,0,0.07227891156462585,1.0,0.13481363996827914
Database,0.6,49,1,85,1091,0,0.07227891156462585,1.0,0.13481363996827914
Storage,0.99,53,52,1,0,153,1.0,0.006493506493506494,0.012903225806451613
Storage,0.95,53,31,64,0,90,1.0,0.4155844155844156,0.5871559633027523
Storage,0.9,53,14,119,0,35,1.0,0.7727272727272727,0.8717948717948718
Storage,0.85,53,9,154,0,0,1.0,1.0,1.0
Storage,0.8,53,7,154,125,0,0.5519713261648745,1.0,0.7113163972286374
Storage,0.75,53,5,154,295,0,0.3429844097995546,1.0,0.5107794361525705
Storage,0.7,53,1,154,1224,0,0.11175616835994194,1.0,0.20104438642297648
Storage,0.65,53,1,154,1224,0,0.11175616835994194,1.0,0.20104438642297648
Storage,0.6,53,1,154,1224,0,0.11175616835994194,1.0,0.20104438642297648
Network,0.99,74,71,3,0,309,1.0,0.009615384615384616,0.01904761904761905
Network,0.95,74,55,28,0,284,1.0,0.08974358974358974,0.1647058823529412
Network,0.9,74,23,201,0,111,1.0,0.6442307692307693,0.7836257309941521
Network,0.85,74,10,304,0,8,1.0,0.9743589743589743,0.9870129870129869
Network,0.8,74,7,312,249,0,0.5561497326203209,1.0,0.7147766323024055
Network,0.75,74,5,312,908,0,0.25573770491803277,1.0,0.4073107049608355
Network,0.7,74,1,312,2389,0,0.11551277304701962,1.0,0.2071025555924328
Network,0.65,74,1,312,2389,0,0.11551277304701962,1.0,0.2071025555924328
Network,0.6,74,1,312,2389,0,0.11551277304701962,1.0,0.2071025555924328
Access Management,0.99,48,48,0,0,116,,0.0,
Access Management,0.95,48,43,8,0,108,1.0,0.06896551724137931,0.12903225806451613
Access Management,0.9,48,28,47,0,69,1.0,0.4051724137931034,0.5766871165644172
Access Management,0.85,48,8,116,40,0,0.7435897435897436,1.0,0.8529411764705882
Access Management,0.8,48,7,116,92,0,0.5576923076923077,1.0,0.7160493827160493
Access Management,0.75,48,1,116,1012,0,0.10283687943262411,1.0,0.18649517684887457
Access Management,0.7,48,1,116,1012,0,0.10283687943262411,1.0,0.18649517684887457
Access Management,0.65,48,1,116,1012,0,0.10283687943262411,1.0,0.18649517684887457
Access Management,0.6,48,1,116,1012,0,0.10283687943262411,1.0,0.18649517684887457
